	0	1	2
224	-1.500000000	-0.100000001	0.065675542
225	-1.500000000	0.000000000	0.066846266
226	-1.500000000	0.100000001	0.058600012
227	-1.500000000	0.200000003	0.046882860
228	-1.500000000	0.300000012	0.036359619
229	-1.500000000	0.400000006	0.027997915
230	-1.500000000	0.500000000	0.021596836
231	-1.500000000	0.600000024	0.016743725
232	-1.500000000	0.699999988	0.013061716
233	-1.500000000	0.800000012	0.010254797
234	-1.500000000	0.899999976	0.008101343
235	-1.500000000	1.000000000	0.006437932
236	-1.500000000	1.100000024	0.005144334
237	-1.500000000	1.200000048	0.004131775
238	-1.500000000	1.299999952	0.003334322
239	-1.500000000	1.399999976	0.002702661
240	-1.500000000	1.500000000	0.002199636
241	-1.500000000	1.600000024	0.001797049
242	-1.500000000	1.700000048	0.001473347
243	-1.500000000	1.799999952	0.001211945
244	-1.500000000	1.899999976	0.000999999
245	-1.500000000	2.000000000	0.000827504
246	-1.399999976	-2.000000000	0.006439738
247	-1.399999976	-1.899999976	0.007149385
248	-1.399999976	-1.799999952	0.007953425
249	-1.399999976	-1.700000048	0.008867278
250	-1.399999976	-1.600000024	0.009909489
251	-1.399999976	-1.500000000	0.011102416
252	-1.399999976	-1.399999976	0.012473221
253	-1.399999976	-1.299999952	0.014055107
254	-1.399999976	-1.200000048	0.015888842
255	-1.399999976	-1.100000024	0.018024866
256	-1.399999976	-1.000000000	0.020525759
257	-1.399999976	-0.899999976	0.023469491
258	-1.399999976	-0.800000012	0.026953073
259	-1.399999976	-0.699999988	0.031096218
260	-1.399999976	-0.600000024	0.036043029
261	-1.399999976	-0.500000000	0.041956026
262	-1.399999976	-0.400000006	0.048985079
263	-1.399999976	-0.300000012	0.057161607
264	-1.399999976	-0.200000003	0.066063061
265	-1.399999976	-0.100000001	0.073809355
266	-1.399999976	0.000000000	0.075057626
267	-1.399999976	0.100000001	0.065675534
268	-1.399999976	0.200000003	0.052421786
269	-1.399999976	0.300000012	0.040559869
270	-1.399999976	0.400000006	0.031162120
271	-1.399999976	0.500000000	0.023986921
272	-1.399999976	0.600000024	0.018560052
273	-1.399999976	0.699999988	0.014451978
274	-1.399999976	0.800000012	0.011326778
275	-1.399999976	0.899999976	0.008933821
276	-1.399999976	1.000000000	0.007088787
277	-1.399999976	1.100000024	0.005656397
278	-1.399999976	1.200000048	0.004537003
